2025-11-29 16:47:33 (root:426) INFO: [logger] file handler -> exp/tldr/choice_qwen/gfl/fedbiscuit_u3_1.0_plain/exp_print.log
2025-11-29 16:47:33 (root:53) INFO: [main] outdir=exp/tldr/choice_qwen/gfl/fedbiscuit_u3_1.0_plain
2025-11-29 16:47:53 (federatedscope.core.data.base_translator:282) INFO: Main process: Completion file found. Skipping generation.
2025-11-29 16:48:24 (federatedscope.core.data.base_translator:368) INFO: [Final Split Summary][loaded][client=27][rank=0/1] Train=6712, Val=50, Test=50, Total=6812
2025-11-29 16:48:24 (federatedscope.core.data.base_translator:368) INFO: [Final Split Summary][loaded][client=28][rank=0/1] Train=3717, Val=50, Test=50, Total=3817
2025-11-29 16:48:24 (federatedscope.core.data.base_translator:368) INFO: [Final Split Summary][loaded][client=29][rank=0/1] Train=8202, Val=50, Test=50, Total=8302
2025-11-29 16:48:24 (federatedscope.core.data.base_translator:368) INFO: [Final Split Summary][loaded][client=30][rank=0/1] Train=2806, Val=50, Test=50, Total=2906
2025-11-29 16:48:24 (federatedscope.core.data.base_translator:368) INFO: [Final Split Summary][loaded][client=31][rank=0/1] Train=181, Val=50, Test=50, Total=281
2025-11-29 16:48:24 (federatedscope.core.data.base_translator:368) INFO: [Final Split Summary][loaded][client=32][rank=0/1] Train=2670, Val=50, Test=50, Total=2770
2025-11-29 16:48:24 (federatedscope.core.data.base_translator:368) INFO: [Final Split Summary][loaded][client=33][rank=0/1] Train=3687, Val=50, Test=50, Total=3787
2025-11-29 16:48:24 (federatedscope.core.data.base_translator:368) INFO: [Final Split Summary][loaded][client=34][rank=0/1] Train=7519, Val=50, Test=50, Total=7619
2025-11-29 16:48:26 (federatedscope.core.auxiliaries.utils:175) INFO: The device information file is not provided
2025-11-29 16:48:26 (federatedscope.core.auxiliaries.model_builder:139) WARNING: The input shape is None. Please specify the `data.input_shape`(a tuple) or give the representative data to `get_model` if necessary
2025-11-29 16:48:30 (federatedscope.llm.misc.debug_utils:120) INFO: [DBG_EMB][tag=after-build][rank=?] tok_len=151643 | base=Qwen2ForCausalLM | in_emb=(Embedding) num=151646 ptr=139661415518272 | out_emb=(Linear) num=151646 ptr=139661415518272 | lora_ptr=None
2025-11-29 16:48:33 (federatedscope.llm.model.model_builder:195) INFO: [Warmup-Init] loaded from checkpoints_u10_warmup_1.0/final_tldr_choice_qwen_fedbiscuit_u10_warmup_1.0_round_200.ckpt (round=200) | missing=291 unexpected=2352
